g,minx,maxx,miny,maxy,minz,maxz
0.05,-3.915681966277355e-06,3.915681966277355e-06,-1.1981684552340363e-09,0.025000001147749626,-0.9996875809920593,8.637340731532106e-09
0.1,-3.1254346984692114e-05,3.1254346984692114e-05,-2.7362023290191937e-09,0.04999992276207064,-0.9987515529991702,8.399831052940954e-09
0.15000000000000002,-0.00010547704825273328,0.00010547704825273328,-1.2752947251456825e-10,0.07499940554866284,-0.9971953703307971,8.502095305562563e-09
0.2,-0.0002499972255617877,0.0002499972255617877,-4.447576353668505e-09,0.09999747747648877,-0.9950248798560344,7.827726744569219e-09
0.25,-0.00048827920146345295,0.00048827920146345295,-7.315113161990505e-10,0.12499225962697198,-0.9922480548480038,7.505752075420702e-09
0.30000000000000004,-0.0008436967200253874,0.0008436967200253874,-3.874475606681889e-11,0.14998060610204605,-0.9888751390062122,6.790447315552228e-09
0.35000000000000003,-0.0013396803605945909,0.0013396803605945909,-4.5116015961663444e-11,0.17495770639279973,-0.9849184357285964,6.486935211214018e-09
0.4,-0.001999567953211666,0.001999567953211666,-5.481115109855104e-11,0.19991677545772785,-0.9803921556315939,6.1155237540688745e-09
0.45,-0.002846652718975232,0.002846652718975232,-8.815998784358498e-09,0.22484846620888424,-0.975312402880396,5.767825717040154e-09
0.5,-0.0039041039413969855,0.0039041039413969855,-5.026478939184217e-11,0.24974041385618886,-0.9696969669191329,5.000481195782669e-09
0.55,-0.005194945437958199,0.005194945437958199,-3.915980529682387e-09,0.2745766656034296,-0.9635651872820697,4.9594193751723026e-09
0.6000000000000001,-0.006741924360008151,0.006741924360008151,-3.393601763792434e-09,0.29933699448984114,-0.9569377936833674,4.520970098287336e-09
0.65,-0.008567487465588847,0.008567487465588847,-2.8870164599901724e-09,0.3239962111641996,-0.9498367396779386,3.997508657427318e-09
0.7000000000000001,-0.010693551260471086,0.010693551260471086,-2.40512752816104e-09,0.3485233863404361,-0.9422850320840925,3.741774612375792e-09
0.75,-0.013141488912731704,0.013141488912731704,-1.9751387436563923e-09,0.3728810379351157,-0.9343065579510763,3.168545870124717e-09
0.8,-0.0159317528991354,0.0159317528991354,-1.6075091417863932e-09,0.397024126650908,-0.9259259120153518,3.4665557646640366e-09
0.8500000000000001,-0.019083616636417573,0.019083616636417573,-1.294509996425537e-09,0.42089940651795105,-0.917168243626419,3.1399312594437845e-09
0.9,-0.022614976951751308,0.022614976951751308,-1.0331095930195095e-09,0.44444446950387606,-0.9080590244303927,2.8766490856035887e-09
0.9500000000000001,-0.026541838089002186,0.026541838089002186,-8.019672474691508e-10,0.46758703321677425,-0.8986239827277143,2.5579238727146958e-09
1.0,-0.030877921548299523,0.030877921548299523,-6.22430375844867e-10,0.49024472287477283,-0.8888888895387953,2.709815094537049e-09
1.05,-0.035633947381019784,0.035633947381019784,-5.147807397263482e-10,0.5123246737699694,-0.8788794293820364,3.1919126786128516e-09
1.1,-0.040817344468628246,0.040817344468628246,-3.460163722450257e-10,0.5337244931771258,-0.8686210648091244,3.331628362079897e-09
1.1500000000000001,-0.04643137719675335,0.04643137719675335,-6.789878251486724e-10,0.5543330464043842,-0.8581389118564651,1.774765723272509e-09
1.2000000000000002,-0.05247456391086778,0.05247456391086778,-4.034474681822788e-10,0.5740327171893677,-0.8474576277076742,2.0696726554803035e-09
1.25,-0.0589401659668894,0.0589401659668894,-2.602626466303321e-10,0.5927022737922899,-0.8366013077625488,3.1948238499168724e-09
1.3,-0.06581536019025136,0.06581536019025136,-3.273740189973064e-10,0.6102209680866421,-0.8255933957996134,1.1641653752114678e-09
1.35,-0.07308125957479232,0.07308125957479232,-3.7153377765865814e-10,0.6264732390874703,-0.8144566052496359,8.877781842997479e-10
1.4000000000000001,-0.08071249171528833,0.08071249171528833,-2.8506434372309454e-10,0.6414046867560027,-0.803212851893285,9.52722734037792e-10
1.4500000000000002,-0.08867739219048211,0.08867739219048211,-3.4865840718419945e-10,0.655413225772965,-0.7918831976928719,5.564028127125198e-10
1.5,-0.09693844667177798,0.09693844667177798,-2.951571974574859e-10,0.6686109326120164,-0.780487805318927,8.918384364342558e-10
1.55,-0.10545304578788993,0.10545304578788993,-2.933740834372705e-10,0.6810081172533207,-0.769045888533579,2.2827538193048724e-09
1.6,-0.11417454517350299,0.11417454517350299,-4.3063226138037773e-10,0.6926176208780006,-0.7575757447172469,1.8451600247715305e-09
