g,minz,maxz
0.1,-0.9987496905193307,-0.9985720018366094
0.2,-0.9949966337140838,-0.994233304835777
0.4,-0.9799100767253951, -0.9766146078616775
0.6,-0.9544054002602693,-0.9474106830691251
0.8,-0.91822902897018,-0.9070140281776041
1.0,-0.8712743402185237,-0.8560993448020658
1.2,-0.8140302368867189,-0.7964472630445639
1.4,-0.7479706816364381,-0.7299714885822757
1.5,-0.7124464404390619,-0.6947878533345002
1.6,-0.6758204398042302,-0.6588442784537367
1.7000000000000002,-0.638623771641002,-0.6225265796788216
1.8,-0.6013511631759654,-0.586247051160403
1.9000000000000001,-0.5644955172730727,-0.5504149976988086
2.0,-0.5285005672206347,-0.5154158730314218
2.1,-0.49374574908349533,-0.48159151187615
2.2,-0.4605301352691361,-0.44922373135962823
2.3000000000000003,-0.4290718321584387,-0.418525171701567
2.4000000000000004,-0.39949717942815044,-0.3896385515840265
2.5,-0.37186527850286033,-0.36263712735885933
2.6,-0.34620562550268386,-0.3375440608949174
2.7,-0.32244611787221045,-0.31432424905371503
2.8000000000000003,-0.3005497796575616,-0.2928252686332993
2.9000000000000004,-0.2804035312985399,-0.2731513302802121
3.0,-0.2618952998801216,-0.2550889400946339
3.1,-0.244909498359759,-0.238512681224759
3.2,-0.22932590910165906,-0.22332598641582013
3.3000000000000003,-0.21502814587642227,-0.2094050134286627
3.4000000000000004,-0.2019058986905946,-0.19663846367109072
3.5,-0.1898521489423095,-0.18492325361489104
3.6,-0.17877317931869047,-0.17416126261567688
3.7,-0.16858570183543048,-0.16426207408143334
3.8000000000000003,-0.15919208666841073,-0.1551592380962752
3.9000000000000004,-0.1505348381051801,-0.14675515892120217
4.0,-0.1425194573865255,-0.1389985359693725
4.1000000000000005,-0.1351250815659517,-0.13182163512280165
4.2,-0.1282770096118867,-0.12517411138360662
4.3,-0.12193623631688366,-0.11900743277507875
4.4,-0.11603422748847414,-0.11327163666322754
4.5,-0.11054068145494167,-0.10794479681568125
4.6000000000000005,-0.10542277062823247,-0.10298212653798045
4.7,-0.10064832438198557,-0.09835184586156409
4.800000000000001,-0.09618817945735003,-0.09402558859106303
4.9,-0.09201605154567605,-0.08997786662631646
5.0,-0.08810822752387693,-0.086185654675633
