g,minx,maxx,miny,maxy,minz,maxz
0.05,-1.977137567630795e-06,1.977137567630795e-06,0.024995529964995832,0.024999995419643983,-0.999687526723925,-0.9996100734870846
0.1,-1.56982352680497e-05,1.56982352680497e-05,0.04996403395985992,0.04999968240152567,-0.998750095927721,-0.998439962137518
0.15000000000000002,-5.2579961601569516e-05,5.2579961601569516e-05,0.07487944660102207,0.07499701391625219,-0.997187997809925,-0.9964887895113032
0.2,-0.00012305505997249098,0.00012305505997249098,0.09971341418341544,0.09998762506426657,-0.9950015507396327,-0.993754705126826
0.25,-0.0002372162017857681,0.0002372162017857681,0.1244392652712146,0.12496195148519375,-0.9921911985568008,-0.9902299160401627
0.30000000000000004,-0.0004039224191033771,0.0004039224191033771,0.1490270037097305,0.14990609247804304,-0.9887574687202109,-0.9859241880527224
0.35000000000000003,-0.000630797545543838,0.000630797545543838,0.1734483038544982,0.17479942768848913,-0.9847011287109909,-0.980823019930919
0.4,-0.000924253292657139,0.000924253292657139,0.19767146854463835,0.19961475956956262,-0.9800227014454753,-0.9749273444749598
0.45,-0.0012889664575990794,0.0012889664575990794,0.2216648529246962,0.22431792834255945,-0.9747232855387836,-0.9682335240908599
0.5,-0.0017290897169776694,0.0017290897169776694,0.24539435558530343,0.2488682804249911,-0.9688035046648245,-0.9607385827033885
0.55,-0.002245992041119915,0.002245992041119915,0.2688248734114344,0.273218747546217,-0.962264543621152,-0.9524462023500626
0.6000000000000001,-0.0028403578336159505,0.0028403578336159505,0.2919190537963869,0.29731722237578345,-0.9551074486324443,-0.9433552621462983
0.65,-0.003511106668122585,0.003511106668122585,0.31463726805947817,0.32110739337780425,-0.9473335281344919,-0.9334723394910942
0.7000000000000001,-0.004255567519377104,0.004255567519377104,0.3369382176904506,0.34453013052245923,-0.9389444208490262,-0.9228011725915402
0.75,-0.005070098438233398,0.005070098438233398,0.35877849571662457,0.3675267825178765,-0.9299422214181007,-0.911356755056741
