k,min,max,obs,pos
4,-0.8404705944859949,-0.742045486810746,sz,0
5,-0.8207189945770126,-0.8045806398929948,sz,0
6,-0.8137319345447203,-0.809667830984879,sz,0
7,-0.8115281158335075,-0.810434706675153,sz,0
4,-0.8404705944859949,-0.742045486810746,sz,0
