g,minx,maxx,miny,maxy,minz,maxz
0.0,-4.882133495387788e-11,4.882133495387788e-11,-1.0268339418982596e-11,1.0268339418982596e-11,-0.9999999999761477,-0.9999999999989818
0.1,0.019803051314558548,0.019803151451164108,0.0019809938564646695,0.001981022350123775,-0.9998019011523189,-0.9998018795647481
0.2,0.03961302965806919,0.039613289801801656,0.00396678939994757,0.003967174975132849,-0.9992066551590831,-0.9992064825789979
0.30000000000000004,0.05943633099233125,0.05943770461845632,0.005962377447127354,0.005963823269428576,-0.9982112721433463,-0.9982109302473929
0.4,0.0792790178151942,0.07928417195786622,0.007972523994993094,0.007977797185371588,-0.9968109728965353,-0.9968087538357167
0.5,0.09914606452851994,0.0991617352027273,0.010002277088823425,0.010019245986843055,-0.9949988560396841,-0.9949899718894449
0.6000000000000001,0.11904007048700034,0.11908149076840036,0.012056587533902784,0.012104896597207017,-0.992765996025169,-0.9927370152903351
0.7000000000000001,0.13895689808376713,0.13905714121821616,0.014140814374907551,0.014266439395682506,-0.9901014321542465,-0.9900136175313338
0.8,0.15887666199087308,0.1591079585461347,0.016260043208479978,0.016579481804164034,-0.9869919636963588,-0.9867352128789063
0.9,0.1787248609555331,0.17926510956747388,0.018419784452923138,0.01925370580246097,-0.983422107235659,-0.982670547206043
0.92,0.18266958973071085,0.1833137356262232,0.018857170647717806,0.019874177733272325,-0.9826514502625958,-0.9817149358074069
0.9400000000000001,0.1865999011344702,0.18736881031163877,0.019296436163462584,0.020540115913877457,-0.9818613926466571,-0.980692077282861
0.96,0.1905114370707768,0.1914316077451814,0.019737520122534682,0.02126211519917034,-0.9810519620752858,-0.9795874806650654
0.98,0.194400210816277,0.19550278034808335,0.020180707988922925,0.02205474433767193,-0.9802229322703983,-0.9783866736755
1.0,0.19825996703913437,0.19958364659714423,0.020625957663267445,0.022934347441244743,-0.979374103012205,-0.9770654527596726
1.02,0.20208478544499534,0.20367557056591432,0.021073197832820603,0.023923455778608944,-0.9785053264295761,-0.9755986155175416
1.04,0.20586444860891978,0.2077801027232897,0.021522658182615447,0.02504910297938066,-0.9776164984573165,-0.9739489727260167
1.06,0.2095886147273745,0.21189944020441062,0.021974223602424032,0.02635119717347924,-0.9767074140049566,-0.9720677584913867
1.08,0.2132413063188565,0.2160363106101655,0.02242803018970524,0.027882247045950787,-0.9757777261552614,-0.9698859463002022
1.1,0.2168023532528379,0.2201935677672537,0.02288408192686441,0.029719345646102402,-0.974827444362983,-0.9673088813044733
1.12,0.22024075872420096,0.22437666018382077,0.023342605444830848,0.03197398682470094,-0.9738562548545053,-0.964187924586437
1.1400000000000001,0.22351121127547738,0.228590894147283,0.023803390654170208,0.03482047551366504,-0.9728641067460702,-0.9603046292126085
1.1600000000000001,0.22654500884535778,0.23284448739475638,0.024266716212975572,0.03853066502013602,-0.9718505911186341,-0.9553047802484995
1.1800000000000002,0.22922796056654535,0.23714789162791544,0.02473245378664019,0.04356034772933378,-0.9708156964491732,-0.9485983964984652
1.2,0.2313588831427252,0.24151581276522416,0.025200795141226893,0.05073508264079639,-0.9697590571656317,-0.9391179435180493
1.22,0.2325466189033878,0.24597032598200555,0.025671687099974295,0.061656121370490785,-0.9686805416893156,-0.9247828091966455
1.24,0.2319543203850104,0.2505453331087136,0.02614524820445545,0.0798031523349815,-0.9675798525228666,-0.9010375226352535
1.26,0.227462840298721,0.2552997546091829,0.026621505235096373,0.11422818042822107,-0.9664569000870483,-0.8560695212205869
1.28,0.21201804063375648,0.2603424186359798,0.02710052548586547,0.19545279212950045,-0.9653113689175041,-0.7498206187747304
1.3,0.15264840456439824,0.265906496058717,0.02758236429137663,0.4547728559904131,-0.9641429677592678,-0.4087953940892353
1.32,0.05248138341446899,0.27266205968930335,0.028067054298727315,0.6690003913323787,-0.9629514543947107,-0.11691950386696179
1.34,-0.006188045710505418,0.28344256221436526,0.02855473226270926,0.6923938895257794,-0.9617366605139368,-0.07219211554510392
1.36,-0.04770001349520045,0.30392455629614346,0.02904537967414484,0.6989690381424793,-0.9604982402286096,-0.04940213587714412
1.38,-0.08068491652553082,0.3269961647413741,0.029539046190218517,0.700534411369629,-0.9592361263108817,-0.03326250956919699
1.4,-0.1084581675990951,0.3484974130941299,0.030035886645449723,0.6995808757669062,-0.9579497834921868,-0.020586730282074778
1.42,-0.1326314461220665,0.36804814743492714,0.030535848180927517,0.6971436484786662,-0.9566390492239112,-0.010056046833322507
1.44,-0.154129226178906,0.38582229185309147,0.031039053786814885,0.6937498749778456,-0.9553037408909778,-0.0010002044658031506
1.46,-0.17353554982021396,0.4020556993545237,0.03154557841774444,0.6897022582088713,-0.9539434387712749,0.0069652788160619455
1.48,-0.1912456296539093,0.41695965617443,0.032055435236418905,0.6851884848070214,-0.9525580660125135,0.014078959980777808
1.5,-0.20754139845972108,0.4307107679007614,0.0325686562203125,0.6803348455291948,-0.9511469117392821,0.02050229124574071
1.7,-0.32306988429871986,0.52749020986737,0.03790459264601613,0.6252441964081032,-0.9355622525572708,0.06291513423262815
1.9,-0.3919152945734329,0.5841806190430623,0.04366037524020528,0.5717490266066501,-0.9170452703725689,0.08632316635456576
2.1,-0.4358838337405945,0.6210940326433855,0.04991601935602709,0.5246110924815828,-0.8951765708284578,0.10168329618573274
2.3,-0.4644675822923693,0.6462688320046621,0.05675855404198289,0.4838424704302198,-0.8694555417311141,0.11283769013409055
2.5,-0.48285429885027875,0.6637983132424656,0.06426854958441477,0.4485172171528361,-0.839328772229892,0.1212930554347752
2.7,-0.4941186354212906,0.6760925614481867,0.0724825943890819,0.41771263834389827,-0.8042971253897138,0.12782413673122384
2.9000000000000004,-0.500230358584095,0.684752627983162,0.08130295170356668,0.39065500603508657,-0.7642215601675936,0.13289952434199082
