g,minz,maxz
0.0,-0.9999997327698512,-1.0000012551858974
0.4,-0.9992010718361708,-0.9992011394870292
0.8,-0.996811350080716,-0.9967548361205794
1.2,-0.9932244541726792,-0.9923428988491242
1.6,-0.987309197090044,-0.984253279668501
1.65,-0.9860762561430434,-0.9832157922693326
1.7,-0.9854245444280437,-0.9787781951218641
1.75,-0.9842876715623365,-0.9758526798808822
1.8,-0.983626887714393,-0.9705776028424198
1.85,-0.9823531209115737,-0.9614254828920132
1.9,-0.9814411394546908,-0.9151001426932018
1.95,-0.9803261047303522,-0.5044396425557552
2.0,-0.9799088719136076,-0.1190475722628501
2.1,-0.9771155119807508,-0.06526513172579373
2.2,-0.9747612256419723,-0.03378221645659901
2.4,-0.9702076310163896,0.0091781861129077
2.8000000000000003,-0.9576216261641476,0.0590672606528133
3.2,-0.943287912875947,0.0890226662972857
3.5999999999999996,-0.9256262681179108,0.1086077001427983
4.0,-0.9041939709649066,0.1219145872185416
4.4,-0.8769788897023486,0.1310648472657686
4.8,-0.8464368090927594,0.1372496473235254
5.2,-0.8067365519391894,0.1412297355520225
5.6000000000000005,-0.7573082051190247,0.1435070156771078
6.0,-0.6982115440954916,0.1444040306240869
6.4,-0.628449061071897,0.1441196227164962
6.800000000000001,-0.5505370130922279,0.1427574145535397
7.199999999999999,-0.4714902891673518,0.1403799089546691
7.6,-0.3996487399292735,0.1370389635019115
8.0,-0.3386304922563828,0.1327963042607176
8.4,-0.2881835468173662,0.1277267758151102
8.8,-0.2469484253320795,0.1219288006731967
9.200000000000001,-0.2131963370734169,0.1155354712205992
9.6,-0.185408729499043,0.1087094992730871
10.0,-0.1623314956716489,0.1016345828625197
10.4,-0.1429850712242579,0.0944950057299054
10.8,-0.1266121259797631,0.0874533199839131
11.200000000000001,-0.1126418874093319,0.0806393812767012
11.6,-0.1006014285606234,0.0741445580558637
12.0,-0.0901702810262923,0.0680264823360858
12.4,-0.0810694393713511,0.0623182284052877
12.8,-0.0730889428607659,0.0570307727052102
13.200000000000001,-0.0660608207878206,0.0521620020458803
13.600000000000001,-0.0598476379277248,0.0476982964653756
14.000000000000002,-0.0543411703237673,0.0436235452314996
14.399999999999999,-0.049440640840587,0.0399110920089232
14.8,-0.0450775950316931,0.0365392163130495
15.2,-0.0411677246683865,0.0334782674184424
15.600000000000001,-0.0376969541340131,0.030705567374169
16.0,-0.0345738121105503,0.0281925589237206
16.400000000000002,-0.0317700828297591,0.0259168116791207
16.8,-0.0292529314525321,0.0238537178219735
17.2,-0.0269828472442881,0.0219854834449463
17.6,-0.0249361635991302,0.0202944270402192
18.0,-0.023086136067924,0.0187549170832929
18.400000000000002,-0.0214130422707947,0.0173598668366009
18.799999999999997,-0.0198922443378737,0.0160882151718926
19.2,-0.018514739697021,0.0149346949235317
19.6,-0.0172568778907157,0.0138789100049327
