g,minx,maxx,miny,maxy,minz,maxz
0.0,3.5015769043684786e-09,-3.5015769043684786e-09,3.5506176823909973e-09,-3.5506176823909973e-09,-0.9999999967966268,-0.9999999999992257
0.1,0.04672087890746288,0.0471758444885501,0.011744085010904556,0.012199014724185242,-0.9988255831227162,-0.9987801064610562
0.2,0.09143975745541288,0.09504044610539208,0.02336543472789064,0.02696544211332505,-0.9953269091899722,-0.9946069136916779
0.30000000000000004,0.1322818487456259,0.14421582847444284,0.034746019123403506,0.046668860446275356,-0.9895761875888625,-0.9859993392535862
0.4,0.1676244338029817,0.1951873643429552,0.04577679947390266,0.07326006968081274,-0.9816892687109336,-0.9706959633148676
0.5,0.19621307898563256,0.2482313708453545,0.05636139271472019,0.10802217562159769,-0.9718192951488351,-0.9459889109749909
0.6000000000000001,0.21725944763518035,0.30334764317888563,0.06641858733636201,0.15336352277379178,-0.9601488440043474,-0.9079818838574656
0.7000000000000001,0.22715376308129057,0.36021116031383726,0.07588397104132129,0.21754993400846373,-0.9468812198124084,-0.8477150452152846
0.8,0.21556323172232913,0.4181623631581573,0.0847103919712723,0.31458526236730133,-0.9322316851393658,-0.7483317711579149
0.9,0.16108495570034195,0.47625066571824004,0.09286750260773444,0.4765914580889601,-0.9164192391117002,-0.5710676790659999
0.92,0.1410120135361476,0.4877861245332177,0.09441705309018274,0.5227612692402469,-0.9131363006396785,-0.5190596416235267
0.9400000000000001,0.11624709022705151,0.49927184480311204,0.09593914871499624,0.5759234390009502,-0.9098171876192407,-0.4586319545569708
0.96,0.08563418180393786,0.5106980941991226,0.09743376361462867,0.6377732381105605,-0.906463572599289,-0.387737667371178
0.98,0.0476085938053641,0.5220551469766481,0.09890089203799586,0.7106016868073324,-0.9030771097432239,-0.30361033989450525
1.0,-1.4223495601271211e-08,0.533333333993255,0.1003405487690772,0.797582531418603,-0.8996594334143359,-0.20241747026661527
1.02,-0.06029053434350513,0.544523102177501,0.1017527681733733,0.9032427831998192,-0.8962121558055407,-0.0786923606978141
1.04,-0.13784455954369088,0.5556150071677743,0.10313760346642721,0.9655661982814827,-0.8927368701578765,0.004188846366156018
